epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1009,1.7643,5.8533,1.38959,0,0,0,0,1.64988,5.71021,1.21347,6.3e-07,6.3e-07,6.3e-07
2,45.0055,1.69438,5.78374,1.37516,0,0,0,0,1.64006,5.71164,1.21023,1.85258e-06,1.85258e-06,1.85258e-06
3,67.5215,1.72042,5.78605,1.4191,0,0,0,0,1.63201,5.71175,1.20764,3.02526e-06,3.02526e-06,3.02526e-06
4,89.8916,1.70698,5.83035,1.3768,0,0,0,0,1.61964,5.71388,1.20688,4.14805e-06,4.14805e-06,4.14805e-06
5,109.746,1.73499,5.81972,1.37968,0,0,0,0,1.60851,5.71378,1.20307,5.22094e-06,5.22094e-06,5.22094e-06
6,131.306,1.69002,5.80045,1.38735,0,0,0,0,1.59766,5.71136,1.19847,6.24393e-06,6.24393e-06,6.24393e-06
7,152.891,1.59347,5.71613,1.35629,0,0,0,0,1.58769,5.70615,1.19199,7.21703e-06,7.21703e-06,7.21703e-06
8,178.666,1.68941,5.77674,1.39672,0,0,0,0,1.57715,5.70402,1.18531,8.14023e-06,8.14023e-06,8.14023e-06
9,199.932,1.64206,5.7648,1.33987,0,0,0,0,1.56994,5.70233,1.18117,9.01354e-06,9.01354e-06,9.01354e-06
10,219.929,1.63881,5.72348,1.33174,0,0,0,0,1.56103,5.70293,1.17878,9.83695e-06,9.83695e-06,9.83695e-06
11,243.281,1.72798,5.76381,1.38379,0,0,0,0,1.54797,5.70297,1.17443,1.06105e-05,1.06105e-05,1.06105e-05
12,266.192,1.66986,5.77456,1.33576,0,0,0,0,1.53929,5.70192,1.17084,1.13341e-05,1.13341e-05,1.13341e-05
13,286.962,1.65078,5.76958,1.32326,0,0,0,0,1.52588,5.70089,1.16633,1.20078e-05,1.20078e-05,1.20078e-05
14,307.334,1.646,5.74915,1.34045,0,0,0,0,1.51605,5.70139,1.16516,1.26316e-05,1.26316e-05,1.26316e-05
15,331.36,1.66507,5.71353,1.32395,0,0,0,0,1.50609,5.70045,1.16053,1.32056e-05,1.32056e-05,1.32056e-05
16,354.718,1.72081,5.76934,1.35436,0,0,0,0,1.49659,5.70006,1.15667,1.37296e-05,1.37296e-05,1.37296e-05
17,373.374,1.61333,5.70484,1.32922,0,0,0,0,1.48873,5.6993,1.15288,1.42037e-05,1.42037e-05,1.42037e-05
18,392.302,1.61193,5.70069,1.35012,0,0,0,0,1.4828,5.69868,1.15005,1.4628e-05,1.4628e-05,1.4628e-05
19,416.818,1.6208,5.70675,1.30898,0,0,0,0,1.47451,5.69642,1.14554,1.50023e-05,1.50023e-05,1.50023e-05
20,436.521,1.62105,5.70546,1.31147,0,0,0,0,1.46983,5.69227,1.14197,1.53268e-05,1.53268e-05,1.53268e-05
21,459.086,1.57648,5.64152,1.28266,0,0,0,0,1.46558,5.68815,1.13849,1.56013e-05,1.56013e-05,1.56013e-05
22,478.951,1.548,5.66365,1.27536,0,0,0,0,1.4605,5.68341,1.13429,1.5826e-05,1.5826e-05,1.5826e-05
23,501.918,1.64304,5.72976,1.2876,0,0,0,0,1.45369,5.68069,1.12971,1.60007e-05,1.60007e-05,1.60007e-05
24,523.708,1.56281,5.69658,1.2788,0,0,0,0,1.44557,5.67802,1.12596,1.61256e-05,1.61256e-05,1.61256e-05
25,548.262,1.62319,5.69822,1.28329,0,0,0,0,1.44086,5.6734,1.12229,1.62006e-05,1.62006e-05,1.62006e-05
26,580.331,1.6131,5.65575,1.24989,0,0,0,0,1.43649,5.66988,1.11988,1.62256e-05,1.62256e-05,1.62256e-05
27,607.421,1.56855,5.6037,1.25663,0,0,0,0,1.43146,5.66449,1.11663,1.62008e-05,1.62008e-05,1.62008e-05
28,632.594,1.61484,5.65713,1.27189,0,0,0,0,1.43146,5.66449,1.11663,1.61261e-05,1.61261e-05,1.61261e-05
29,656.002,1.59336,5.63217,1.27815,0,0,0,0,1.42668,5.65958,1.11433,1.60015e-05,1.60015e-05,1.60015e-05
30,680.421,1.62245,5.65329,1.30001,0,0,0,0,1.42067,5.65415,1.11197,1.5827e-05,1.5827e-05,1.5827e-05
31,714.834,1.52381,5.57783,1.233,0,0,0,0,1.42067,5.65415,1.11197,1.56026e-05,1.56026e-05,1.56026e-05
32,737.932,1.53158,5.53649,1.21067,0,0,0,0,1.41773,5.64696,1.11012,1.53283e-05,1.53283e-05,1.53283e-05
33,763.453,1.51982,5.54854,1.27525,0,0,0,0,1.41537,5.63689,1.10593,1.50041e-05,1.50041e-05,1.50041e-05
34,789.472,1.60162,5.58036,1.25523,0,0,0,0,1.41537,5.63689,1.10593,1.463e-05,1.463e-05,1.463e-05
35,814.862,1.48657,5.50764,1.19786,0,0,0,0,1.41235,5.62946,1.10394,1.4206e-05,1.4206e-05,1.4206e-05
36,841.149,1.47886,5.48791,1.20329,0,0,0,0,1.40956,5.61753,1.10014,1.37321e-05,1.37321e-05,1.37321e-05
37,862.622,1.53944,5.52522,1.22264,0,0,0,0,1.40956,5.61753,1.10014,1.32083e-05,1.32083e-05,1.32083e-05
38,888.156,1.57436,5.57754,1.23156,0,0,0,0,1.4064,5.6101,1.09976,1.26347e-05,1.26347e-05,1.26347e-05
39,912.436,1.51133,5.51636,1.21817,0,0,0,0,1.40465,5.60319,1.0999,1.20111e-05,1.20111e-05,1.20111e-05
40,936.086,1.64787,5.63362,1.23663,0,0,0,0,1.40465,5.60319,1.0999,1.13376e-05,1.13376e-05,1.13376e-05
41,957.38,1.58206,5.43189,1.18903,0,0,0,0,1.40316,5.5929,1.09856,1.06142e-05,1.06142e-05,1.06142e-05
42,978.366,1.56729,5.39644,1.18903,0,0,0,0,1.40306,5.57793,1.09597,9.84098e-06,9.84098e-06,9.84098e-06
