epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.3771,1.60675,5.68845,1.2684,0,0,0,0,1.48529,5.66163,1.12517,1.512e-05,1.512e-05,1.512e-05
2,91.3816,1.50261,5.50521,1.19033,0,0,0,0,1.43021,5.55176,1.05151,2.78139e-05,2.78139e-05,2.78139e-05
3,145.816,1.45823,5.2455,1.11749,0.00498,0.00226,0.00376,0.0031,1.43732,5.35827,1.03456,3.73892e-05,3.73892e-05,3.73892e-05
4,225.159,1.43323,4.98149,1.08794,0.01022,0.0193,0.0124,0.0097,1.44259,5.00077,1.04219,4.38461e-05,4.38461e-05,4.38461e-05
5,313.243,1.4061,4.74633,1.08274,0.00651,0.01512,0.00885,0.00661,1.42945,4.59317,1.04942,3.8052e-05,3.8052e-05,3.8052e-05
6,403.32,1.40972,4.56143,1.06817,0.01261,0.01563,0.01176,0.00886,1.41653,4.27159,1.04741,3.1815e-05,3.1815e-05,3.1815e-05
7,635.873,1.39936,4.38279,1.05763,0.57092,0.00948,0.01322,0.01019,1.39476,4.07551,1.03767,2.5578e-05,2.5578e-05,2.5578e-05
8,717.876,1.37806,4.259,1.05216,0.57104,0.01202,0.01583,0.01163,1.37582,3.93438,1.02982,1.9341e-05,1.9341e-05,1.9341e-05
9,814.017,1.36961,4.16136,1.0473,0.57635,0.01247,0.01595,0.01132,1.36744,3.87462,1.02589,1.3104e-05,1.3104e-05,1.3104e-05
10,932.801,1.38193,4.11049,1.04452,0.59068,0.01226,0.01629,0.01148,1.36528,3.85819,1.02404,6.867e-06,6.867e-06,6.867e-06
